,Country,Crop,Year,average_rainfall_in_mm_per_year,pesticides_in_tons_used,avg_temp,hg/ha_yield
19246,Mexico,Maize,1994,758.0,34468.93,21.46,22255
7593,Ecuador,Cassava,1995,2274.0,2658.0,21.96,36456
8077,Ecuador,Wheat,2013,2274.0,6471.77,17.28,7064
6874,Colombia,Sorghum,2010,3240.0,48618.46,22.68,57069
4147,Brazil,Maize,2007,1761.0,304031.0,25.44,37852
25954,Suriname,Cassava,2000,2331.0,176.0,26.86,158385
26886,Turkey,Potatoes,2005,593.0,40332.0,11.24,266540
8259,Egypt,Wheat,2002,51.0,5147.0,21.46,64345
7775,Ecuador,Soybeans,2001,2274.0,7344.0,21.88,18900
23610,Portugal,Potatoes,1992,854.0,6117.0,15.95,143260
1665,Australia,"Rice, paddy",2011,534.0,47632.99,17.71,95441
9556,Guatemala,Maize,1999,1996.0,10249.94,19.44,17378
16363,Japan,"Rice, paddy",1994,1668.0,79821.18,16.33,67703
13093,India,Soybeans,2005,1083.0,35342.0,26.51,10734
15157,Indonesia,Sweet potatoes,2007,2702.0,1597.0,27.21,106643
27616,United Kingdom,Potatoes,2004,1220.0,31223.91,8.92,424781
25773,Sri Lanka,Potatoes,2001,1712.0,1705.05,26.63,135718
22315,Pakistan,Sweet potatoes,1999,494.0,20450.0,23.8,112339
20047,Mexico,Sweet potatoes,2007,758.0,64501.28,16.38,204599
18909,Mauritius,Cassava,1998,2041.0,536.45,24.41,150000
20168,Mexico,Soybeans,2009,758.0,61690.08,21.76,18675
12834,India,Potatoes,2004,1083.0,35113.0,26.11,188091
13444,India,Soybeans,2007,1083.0,27422.77,25.58,12351
6616,Colombia,Plantains and others,1995,3240.0,20156.23,22.27,73766
14139,India,Soybeans,2011,1083.0,55540.0,26.41,11998
13135,India,Wheat,2005,1083.0,35342.0,26.11,26016
17769,Lesotho,Maize,1991,788.0,0.3,14.66,5408
19344,Mexico,Sweet potatoes,1995,758.0,34468.93,21.5,174581
16833,Japan,Soybeans,2006,1668.0,65248.26,15.92,16129
25794,Sri Lanka,Cassava,2005,1712.0,1742.41,26.73,95186
14994,Indonesia,Potatoes,2002,2702.0,1597.0,25.64,155903
19216,Mexico,Sweet potatoes,1993,758.0,34468.93,21.04,185676
8955,Germany,Potatoes,1995,700.0,30090.0,9.16,314059
4791,Brazil,Sweet potatoes,2013,1761.0,367778.0,20.07,130913
2475,Belgium,Maize,2013,847.0,5905.6,10.36,111500
7585,Ecuador,Soybeans,1994,2274.0,2670.0,17.4,21520
21920,Pakistan,Sorghum,1993,494.0,4945.0,27.72,5821
18610,Mali,Soybeans,2001,282.0,15.36,27.79,16154
9911,Guyana,Maize,2002,2387.0,289.9,27.17,14207
7042,Denmark,Wheat,2010,703.0,3894.0,7.54,66264
16307,Japan,Yams,1992,1668.0,79821.18,15.26,188269
